item_number,translit_nikud,hebrew_meaning,arabic_script,item_type,notes
,יוֹם בַּעַד יוֹם,יום אחרי יום,,phrase,
,חַכַּם,שלט/שפט,,word,
,מַחְכַּמֶה,בית משפט,,word,
,מַחְדַאדֶה,מסגריה,,word,
,חַדַאד,מסגר,,word,
,נַגַ׳אר,נגר,,word,
,דַהַאן,צבעי,,word,
,עַטַאר,מוכר/עושה בשמים,,word,
,חֵיפַא,חיפה,,word,
,מַפְהוּם,מובן,,word,
,מַפְרוּם,חתוך,,word,
,פַאהֶם,מבין,,word,אִינְתַ פַאהֶם - אתה מבין
,נֶעֶמֶה,ברכה,,word,לוודא הגייה עם המורה (ne-eme?)
,שַדֶּה,לחץ,,word,
,בַּרַּא,החוצה,,word,שדה על ה-ר
,עִיטְלַע,צא,,word,
,כַּרְם,כרם,,word,
,מְעַלֶּם,מורה/אחראי,,word,למשל בחנות: כִּיפַאכּ מְעַלֶּם
,שוּ אִקְצַתַכ,מה הסיפור שלך,,phrase,לוודא הגייה (shoo ikse)
,לַקַבּ,כינוי,,word,
,אֵיר,פין,,word,וולגרי
,טַאלֶבּ,תלמיד (כיתה גבוהה יא-יב),,word,
,גַ׳אמֶע,מסגד,,word,להבדיל מגַ׳מַאעַה
,גַ׳מַאעַה,חבורה,,word,
,תַבַּע,של,,word,לוודא הגייה (taba/taA)
,וּהוּ,והוא,,word,
,וִלַּא,או,,word,דגש/שדה על ה-ל
,תִילְמִיז,תלמיד,,word,רבים: תַלַאמִיז (תלמידים)
,פִי,יש,,word,
,פִש,אין,,word,
,מַפִש,אין,,word,
,מַאפִי,אין,,word,
,לַטִיף,עדין,,word,
,תוּסְבַּאח עַלַא (א)לְחֵ׳יר,תתעורר בטוב,,phrase,מה שמאחלים במקום לילה טוב — לוודא נוסח
,צַאחֶבּ,חבר/בעל (כמו בעלים של כלב),,word,רבים: צְחַאבּ (חברים/בעלים)
,יִסְלַמוּ אִידֵיכּ,יבורכו ידיך,,sentence,עונים למי שמביא לך משהו
,אִסַּלַאם קַבְּל (אִ)לְכַּלַאם,שלום לפני דיבורים,,sentence,דגש/שדה על ה-ל הראשונה
,אַאסֶף / מִתְאַסֶּף,מצטער,,word,שתי צורות
